Using device: cuda
Start training with 22849352 number of parameters
Iteration 93: Allocated: 949.35 MB, Reserved: 11588.00 MB
Iteration 94: Allocated: 894.51 MB, Reserved: 11588.00 MB
Iteration 95: Allocated: 845.32 MB, Reserved: 11588.00 MB
Iteration 96: Allocated: 871.75 MB, Reserved: 11588.00 MB
Iteration 97: Allocated: 913.92 MB, Reserved: 11588.00 MB
Iteration 98: Allocated: 932.65 MB, Reserved: 11588.00 MB
Iteration 99: Allocated: 883.72 MB, Reserved: 11588.00 MB
Iteration 100: Allocated: 917.10 MB, Reserved: 11588.00 MB
Iteration 101: Allocated: 953.27 MB, Reserved: 11588.00 MB
Iteration 102: Allocated: 876.14 MB, Reserved: 11588.00 MB
Iteration 103: Allocated: 866.19 MB, Reserved: 11588.00 MB
Iteration 104: Allocated: 886.84 MB, Reserved: 11588.00 MB
Iteration 105: Allocated: 920.13 MB, Reserved: 11588.00 MB
Iteration 106: Allocated: 925.05 MB, Reserved: 11588.00 MB
Iteration 107: Allocated: 891.56 MB, Reserved: 11588.00 MB
Iteration 108: Allocated: 961.24 MB, Reserved: 11588.00 MB
Iteration 109: Allocated: 940.59 MB, Reserved: 11588.00 MB
Iteration 110: Allocated: 920.46 MB, Reserved: 11588.00 MB
Iteration 111: Allocated: 875.38 MB, Reserved: 11588.00 MB
Iteration 112: Allocated: 915.22 MB, Reserved: 11588.00 MB
Iteration 113: Allocated: 956.85 MB, Reserved: 11588.00 MB
Iteration 114: Allocated: 860.80 MB, Reserved: 11588.00 MB
Iteration 115: Allocated: 872.79 MB, Reserved: 11588.00 MB
Iteration 116: Allocated: 955.94 MB, Reserved: 11588.00 MB
Iteration 117: Allocated: 931.33 MB, Reserved: 11588.00 MB
Iteration 118: Allocated: 864.70 MB, Reserved: 11588.00 MB
Iteration 119: Allocated: 900.94 MB, Reserved: 11588.00 MB
Iteration 120: Allocated: 885.94 MB, Reserved: 11588.00 MB
Iteration 121: Allocated: 896.80 MB, Reserved: 11588.00 MB
Iteration 122: Allocated: 790.30 MB, Reserved: 11588.00 MB
Iteration 123: Allocated: 851.70 MB, Reserved: 11588.00 MB
Iteration 124: Allocated: 937.01 MB, Reserved: 11588.00 MB
Iteration 125: Allocated: 906.38 MB, Reserved: 11588.00 MB
Iteration 126: Allocated: 892.29 MB, Reserved: 11588.00 MB
Iteration 127: Allocated: 868.61 MB, Reserved: 11588.00 MB
Iteration 128: Allocated: 902.04 MB, Reserved: 11648.00 MB
Iteration 129: Allocated: 889.16 MB, Reserved: 11648.00 MB
Iteration 130: Allocated: 759.74 MB, Reserved: 11648.00 MB
Iteration 131: Allocated: 886.95 MB, Reserved: 11648.00 MB
Iteration 132: Allocated: 896.74 MB, Reserved: 11648.00 MB
Iteration 133: Allocated: 854.06 MB, Reserved: 11648.00 MB
Iteration 134: Allocated: 921.78 MB, Reserved: 11648.00 MB
Iteration 135: Allocated: 880.45 MB, Reserved: 11648.00 MB
Iteration 136: Allocated: 916.20 MB, Reserved: 11648.00 MB
Iteration 137: Allocated: 924.94 MB, Reserved: 11648.00 MB
Iteration 138: Allocated: 880.07 MB, Reserved: 11648.00 MB
Iteration 139: Allocated: 865.23 MB, Reserved: 11648.00 MB
Iteration 140: Allocated: 841.58 MB, Reserved: 11648.00 MB
Iteration 141: Allocated: 916.57 MB, Reserved: 11648.00 MB
Iteration 142: Allocated: 932.04 MB, Reserved: 11648.00 MB
Iteration 143: Allocated: 893.05 MB, Reserved: 11648.00 MB
Iteration 144: Allocated: 841.43 MB, Reserved: 11648.00 MB
Iteration 145: Allocated: 959.56 MB, Reserved: 11648.00 MB
Iteration 146: Allocated: 958.90 MB, Reserved: 11648.00 MB
Iteration 147: Allocated: 937.99 MB, Reserved: 11648.00 MB
Iteration 148: Allocated: 937.90 MB, Reserved: 11648.00 MB
Iteration 149: Allocated: 942.30 MB, Reserved: 11648.00 MB
Iteration 150: Allocated: 926.99 MB, Reserved: 11648.00 MB
Iteration 151: Allocated: 951.48 MB, Reserved: 11648.00 MB
Iteration 152: Allocated: 929.40 MB, Reserved: 11648.00 MB
Iteration 153: Allocated: 867.92 MB, Reserved: 11648.00 MB
Iteration 154: Allocated: 948.95 MB, Reserved: 11648.00 MB
Iteration 155: Allocated: 925.59 MB, Reserved: 11648.00 MB
Iteration 156: Allocated: 862.48 MB, Reserved: 11648.00 MB
Iteration 157: Allocated: 908.37 MB, Reserved: 11648.00 MB
Iteration 158: Allocated: 870.36 MB, Reserved: 11648.00 MB
Iteration 159: Allocated: 917.59 MB, Reserved: 11648.00 MB
Iteration 160: Allocated: 904.93 MB, Reserved: 11648.00 MB
Iteration 161: Allocated: 881.88 MB, Reserved: 11648.00 MB
Iteration 162: Allocated: 939.89 MB, Reserved: 11648.00 MB
Iteration 163: Allocated: 916.28 MB, Reserved: 11648.00 MB
Iteration 164: Allocated: 945.86 MB, Reserved: 11648.00 MB
Iteration 165: Allocated: 907.20 MB, Reserved: 11648.00 MB
Iteration 166: Allocated: 943.59 MB, Reserved: 11648.00 MB
Iteration 167: Allocated: 963.35 MB, Reserved: 11648.00 MB
Iteration 168: Allocated: 942.00 MB, Reserved: 12408.00 MB
Iteration 169: Allocated: 874.65 MB, Reserved: 12408.00 MB
Iteration 170: Allocated: 913.08 MB, Reserved: 12408.00 MB
Iteration 171: Allocated: 929.05 MB, Reserved: 12408.00 MB
Iteration 172: Allocated: 935.07 MB, Reserved: 12408.00 MB
Iteration 173: Allocated: 917.47 MB, Reserved: 12408.00 MB
Iteration 174: Allocated: 926.13 MB, Reserved: 12408.00 MB
Iteration 175: Allocated: 857.05 MB, Reserved: 12408.00 MB
Iteration 176: Allocated: 926.26 MB, Reserved: 12408.00 MB
Iteration 177: Allocated: 872.61 MB, Reserved: 12408.00 MB
Iteration 178: Allocated: 896.30 MB, Reserved: 12408.00 MB
Iteration 179: Allocated: 882.25 MB, Reserved: 12408.00 MB
