Using device: cuda
Start training with 21576776 number of parameters
Iteration 93: Allocated: 799.38 MB, Reserved: 11626.00 MB
Iteration 94: Allocated: 778.32 MB, Reserved: 11626.00 MB
Iteration 95: Allocated: 828.45 MB, Reserved: 11626.00 MB
Iteration 96: Allocated: 778.22 MB, Reserved: 11626.00 MB
Iteration 97: Allocated: 776.39 MB, Reserved: 11626.00 MB
Iteration 98: Allocated: 833.76 MB, Reserved: 11626.00 MB
Iteration 99: Allocated: 814.64 MB, Reserved: 11626.00 MB
Iteration 100: Allocated: 801.39 MB, Reserved: 11626.00 MB
Iteration 101: Allocated: 749.29 MB, Reserved: 11626.00 MB
Iteration 102: Allocated: 774.18 MB, Reserved: 11626.00 MB
Iteration 103: Allocated: 821.00 MB, Reserved: 11626.00 MB
Iteration 104: Allocated: 779.58 MB, Reserved: 11626.00 MB
Iteration 105: Allocated: 830.58 MB, Reserved: 11626.00 MB
Iteration 106: Allocated: 827.04 MB, Reserved: 11626.00 MB
Iteration 107: Allocated: 794.49 MB, Reserved: 11626.00 MB
Iteration 108: Allocated: 805.96 MB, Reserved: 11626.00 MB
Iteration 109: Allocated: 675.44 MB, Reserved: 11626.00 MB
Iteration 110: Allocated: 775.92 MB, Reserved: 11626.00 MB
Iteration 111: Allocated: 825.75 MB, Reserved: 11626.00 MB
Iteration 112: Allocated: 804.50 MB, Reserved: 11626.00 MB
Iteration 113: Allocated: 821.19 MB, Reserved: 11626.00 MB
Iteration 114: Allocated: 751.25 MB, Reserved: 11626.00 MB
Iteration 115: Allocated: 755.27 MB, Reserved: 11626.00 MB
Iteration 116: Allocated: 754.94 MB, Reserved: 11626.00 MB
Iteration 117: Allocated: 810.06 MB, Reserved: 11626.00 MB
Iteration 118: Allocated: 748.49 MB, Reserved: 11626.00 MB
Iteration 119: Allocated: 774.52 MB, Reserved: 11626.00 MB
Iteration 120: Allocated: 823.31 MB, Reserved: 11626.00 MB
Iteration 121: Allocated: 837.87 MB, Reserved: 11626.00 MB
Iteration 122: Allocated: 773.66 MB, Reserved: 11626.00 MB
Iteration 123: Allocated: 757.17 MB, Reserved: 11626.00 MB
Iteration 124: Allocated: 831.26 MB, Reserved: 11626.00 MB
Iteration 125: Allocated: 824.30 MB, Reserved: 11626.00 MB
Iteration 126: Allocated: 757.44 MB, Reserved: 11626.00 MB
Iteration 127: Allocated: 817.76 MB, Reserved: 11626.00 MB
Iteration 128: Allocated: 817.95 MB, Reserved: 11626.00 MB
Iteration 129: Allocated: 810.09 MB, Reserved: 11626.00 MB
Iteration 130: Allocated: 783.96 MB, Reserved: 11626.00 MB
Iteration 131: Allocated: 784.68 MB, Reserved: 11626.00 MB
Iteration 132: Allocated: 817.10 MB, Reserved: 11626.00 MB
Iteration 133: Allocated: 792.69 MB, Reserved: 11626.00 MB
Iteration 134: Allocated: 759.47 MB, Reserved: 11626.00 MB
Iteration 135: Allocated: 769.09 MB, Reserved: 11626.00 MB
Iteration 136: Allocated: 778.26 MB, Reserved: 11626.00 MB
Iteration 137: Allocated: 820.83 MB, Reserved: 11626.00 MB
Iteration 138: Allocated: 784.51 MB, Reserved: 11626.00 MB
Iteration 139: Allocated: 741.12 MB, Reserved: 11626.00 MB
Iteration 140: Allocated: 763.83 MB, Reserved: 11626.00 MB
Iteration 141: Allocated: 824.32 MB, Reserved: 11626.00 MB
Iteration 142: Allocated: 761.39 MB, Reserved: 11626.00 MB
Iteration 143: Allocated: 779.65 MB, Reserved: 11626.00 MB
Iteration 144: Allocated: 756.39 MB, Reserved: 11626.00 MB
Iteration 145: Allocated: 796.78 MB, Reserved: 11626.00 MB
Iteration 146: Allocated: 772.43 MB, Reserved: 11626.00 MB
Iteration 147: Allocated: 819.15 MB, Reserved: 11626.00 MB
Iteration 148: Allocated: 809.65 MB, Reserved: 11626.00 MB
Iteration 149: Allocated: 756.81 MB, Reserved: 11626.00 MB
Iteration 150: Allocated: 764.30 MB, Reserved: 11626.00 MB
Iteration 151: Allocated: 784.60 MB, Reserved: 11626.00 MB
Iteration 152: Allocated: 751.70 MB, Reserved: 11626.00 MB
Iteration 153: Allocated: 782.57 MB, Reserved: 11626.00 MB
Iteration 154: Allocated: 798.53 MB, Reserved: 11626.00 MB
Iteration 155: Allocated: 783.38 MB, Reserved: 11626.00 MB
