Using device: cuda
Start training with 22849352 number of parameters
Iteration 93: Allocated: 623.90 MB, Reserved: 11046.00 MB
Iteration 94: Allocated: 645.28 MB, Reserved: 11046.00 MB
Iteration 95: Allocated: 603.15 MB, Reserved: 11046.00 MB
Iteration 96: Allocated: 634.36 MB, Reserved: 11046.00 MB
Iteration 97: Allocated: 608.68 MB, Reserved: 11046.00 MB
Iteration 98: Allocated: 628.93 MB, Reserved: 11046.00 MB
Iteration 99: Allocated: 606.08 MB, Reserved: 11046.00 MB
Iteration 100: Allocated: 625.07 MB, Reserved: 11046.00 MB
Iteration 101: Allocated: 594.88 MB, Reserved: 11046.00 MB
Iteration 102: Allocated: 635.12 MB, Reserved: 11046.00 MB
Iteration 103: Allocated: 645.30 MB, Reserved: 11046.00 MB
Iteration 104: Allocated: 632.03 MB, Reserved: 11046.00 MB
Iteration 105: Allocated: 584.48 MB, Reserved: 11046.00 MB
Iteration 106: Allocated: 605.10 MB, Reserved: 11046.00 MB
Iteration 107: Allocated: 582.69 MB, Reserved: 11046.00 MB
Iteration 108: Allocated: 615.17 MB, Reserved: 11046.00 MB
Iteration 109: Allocated: 589.85 MB, Reserved: 11046.00 MB
Iteration 110: Allocated: 608.14 MB, Reserved: 11046.00 MB
Iteration 111: Allocated: 662.89 MB, Reserved: 11046.00 MB
Iteration 112: Allocated: 634.49 MB, Reserved: 11046.00 MB
Iteration 113: Allocated: 576.91 MB, Reserved: 11046.00 MB
Iteration 114: Allocated: 638.52 MB, Reserved: 11046.00 MB
Iteration 115: Allocated: 658.56 MB, Reserved: 11046.00 MB
Iteration 116: Allocated: 630.32 MB, Reserved: 11046.00 MB
Iteration 117: Allocated: 587.00 MB, Reserved: 11046.00 MB
Iteration 118: Allocated: 615.55 MB, Reserved: 11046.00 MB
Iteration 119: Allocated: 651.75 MB, Reserved: 11046.00 MB
Iteration 120: Allocated: 606.79 MB, Reserved: 11046.00 MB
Iteration 121: Allocated: 594.93 MB, Reserved: 11046.00 MB
Iteration 122: Allocated: 601.66 MB, Reserved: 11046.00 MB
Iteration 123: Allocated: 623.95 MB, Reserved: 11046.00 MB
Iteration 124: Allocated: 630.86 MB, Reserved: 11046.00 MB
Iteration 125: Allocated: 631.85 MB, Reserved: 11046.00 MB
